id,consecuente,cobertura,aciertos,errores,precision,recall_local,edad,presion_sistolica,presion_diastolica,azucar_sangre,temperatura_corporal,frecuencia_cardiaca
R001,mid risk,10,6,4,0.6,0.017857142857142856,optima,hipotension,normal,hiperglucemia_gestacional,fiebre,normal
R002,high risk,3,3,0,1.0,0.011029411764705883,adolescente,hipotension,normal,hiperglucemia_gestacional,fiebre,bradicardia
R003,high risk,2,2,0,1.0,0.007352941176470588,avanzada,hipotension,normal,diabetes_manifiesta,normal,normal
R004,low risk,1,1,0,1.0,0.0024752475247524753,optima,normal,normal,normoglucemia,hiperpirexia,normal
R005,low risk,2,2,0,1.0,0.0049504950495049506,optima,hipotension,normal,hiperglucemia_gestacional,normal,bradicardia
R006,mid risk,31,14,17,0.45161290322580644,0.041666666666666664,adolescente,hipotension,normal,hiperglucemia_gestacional,fiebre,normal
R007,mid risk,8,6,2,0.75,0.017857142857142856,muy_avanzada,normal,elevada,diabetes_manifiesta,normal,normal
R008,high risk,3,3,0,1.0,0.011029411764705883,avanzada,normal,elevada,diabetes_manifiesta,normal,bradicardia
R009,mid risk,11,8,3,0.7272727272727273,0.023809523809523808,optima,normal,elevada,hiperglucemia_gestacional,normal,bradicardia
R010,high risk,2,2,0,1.0,0.007352941176470588,muy_avanzada,elevada,normal,normoglucemia,fiebre,normal
R011,mid risk,3,2,1,0.6666666666666666,0.005952380952380952,optima,normal,hipertension,normoglucemia,normal,bradicardia
R012,low risk,2,2,0,1.0,0.0049504950495049506,adolescente,normal,normal,normoglucemia,fiebre,bradicardia
R013,high risk,5,5,0,1.0,0.01838235294117647,adolescente,normal,normal,diabetes_manifiesta,fiebre,normal
R014,mid risk,12,7,5,0.5833333333333334,0.020833333333333332,muy_avanzada,elevada,normal,diabetes_manifiesta,normal,normal
R015,high risk,3,3,0,1.0,0.011029411764705883,avanzada,elevada,elevada,diabetes_manifiesta,normal,normal
R016,high risk,2,2,0,1.0,0.007352941176470588,avanzada,elevada,hipertension,normoglucemia,fiebre,normal
R017,mid risk,129,64,65,0.49612403100775193,0.19047619047619047,optima,normal,normal,normoglucemia,normal,normal
R018,mid risk,27,25,2,0.9259259259259259,0.0744047619047619,optima,elevada,normal,normoglucemia,normal,normal
R019,high risk,5,5,0,1.0,0.01838235294117647,optima,elevada,elevada,normoglucemia,normal,normal
R020,high risk,11,6,5,0.5454545454545454,0.022058823529411766,muy_avanzada,normal,elevada,diabetes_manifiesta,normal,bradicardia
R021,mid risk,32,12,20,0.375,0.03571428571428571,adolescente,hipotension,normal,normoglucemia,fiebre,normal
R022,low risk,1,1,0,1.0,0.0024752475247524753,muy_avanzada,normal,normal,normoglucemia,hiperpirexia,normal
R023,high risk,35,31,4,0.8857142857142857,0.11397058823529412,muy_avanzada,elevada,hipertension,diabetes_manifiesta,normal,normal
R024,high risk,9,7,2,0.7777777777777778,0.025735294117647058,avanzada,normal,hipertension,hiperglucemia_gestacional,normal,normal
