id_original,consecuente,cobertura,aciertos,errores,precision,recall_local,edad,presion_sistolica,presion_diastolica,azucar_sangre,temperatura_corporal,frecuencia_cardiaca
R004,low risk,1,0,1,0.0,0.0,avanzada,normal,hipertension,normoglucemia,normal,normal
R007,low risk,2,0,2,0.0,0.0,muy_avanzada,elevada,normal,normoglucemia,fiebre,normal
R013,low risk,2,0,2,0.0,0.0,adolescente,normal,normal,hiperglucemia_gestacional,fiebre,normal
R024,mid risk,8,0,8,0.0,0.0,optima,elevada,hipertension,hiperglucemia_gestacional,normal,normal
R028,mid risk,6,0,6,0.0,0.0,adolescente,normal,normal,hiperglucemia_gestacional,normal,normal
R032,mid risk,5,0,5,0.0,0.0,avanzada,elevada,hipertension,hiperglucemia_gestacional,normal,normal
R039,mid risk,1,0,1,0.0,0.0,optima,elevada,normal,normoglucemia,fiebre,normal
R056,mid risk,1,0,1,0.0,0.0,optima,normal,normal,normoglucemia,normal,bradicardia
R059,mid risk,5,0,5,0.0,0.0,optima,elevada,elevada,normoglucemia,normal,normal
R068,high risk,15,0,15,0.0,0.0,optima,normal,normal,normoglucemia,fiebre,normal
R069,mid risk,5,0,5,0.0,0.0,muy_avanzada,normal,hipertension,normoglucemia,normal,normal
R077,high risk,2,0,2,0.0,0.0,adolescente,normal,normal,hiperglucemia_gestacional,fiebre,normal
R078,low risk,8,0,8,0.0,0.0,optima,elevada,hipertension,hiperglucemia_gestacional,normal,normal
R080,low risk,14,0,14,0.0,0.0,optima,elevada,hipertension,normoglucemia,normal,normal
R083,high risk,5,0,5,0.0,0.0,optima,hipotension,normal,normoglucemia,fiebre,normal
R084,high risk,5,0,5,0.0,0.0,muy_avanzada,elevada,normal,normoglucemia,normal,normal
R087,low risk,2,0,2,0.0,0.0,muy_avanzada,normal,elevada,hiperglucemia_gestacional,normal,normal
R089,mid risk,13,0,13,0.0,0.0,muy_avanzada,elevada,elevada,diabetes_manifiesta,normal,normal
R101,high risk,129,0,129,0.0,0.0,optima,normal,normal,normoglucemia,normal,normal
R105,high risk,2,0,2,0.0,0.0,muy_avanzada,hipotension,normal,hiperglucemia_gestacional,normal,normal
R109,low risk,5,0,5,0.0,0.0,muy_avanzada,elevada,normal,normoglucemia,normal,normal
R115,mid risk,1,0,1,0.0,0.0,muy_avanzada,elevada,elevada,normoglucemia,normal,normal
R124,high risk,2,0,2,0.0,0.0,muy_avanzada,normal,elevada,hiperglucemia_gestacional,normal,normal
R139,low risk,2,0,2,0.0,0.0,adolescente,normal,elevada,normoglucemia,normal,normal
R140,high risk,10,0,10,0.0,0.0,optima,elevada,normal,hiperglucemia_gestacional,normal,normal
R142,mid risk,1,0,1,0.0,0.0,avanzada,normal,hipertension,normoglucemia,normal,normal
R145,low risk,10,0,10,0.0,0.0,optima,elevada,normal,hiperglucemia_gestacional,normal,normal
R146,low risk,10,0,10,0.0,0.0,optima,hipotension,normal,hiperglucemia_gestacional,fiebre,normal
R153,low risk,27,0,27,0.0,0.0,optima,elevada,normal,normoglucemia,normal,normal
R159,mid risk,2,0,2,0.0,0.0,muy_avanzada,normal,hipertension,hiperglucemia_gestacional,normal,normal
