id,consecuente,cobertura,aciertos,errores,precision,recall_local,edad,presion_sistolica,presion_diastolica,azucar_sangre,temperatura_corporal,frecuencia_cardiaca
R001,mid risk,38,9,29,0.23684210526315788,0.026785714285714284,muy_avanzada,normal,normal,hiperglucemia_gestacional,normal,normal
R002,mid risk,10,6,4,0.6,0.017857142857142856,optima,hipotension,normal,hiperglucemia_gestacional,fiebre,normal
R003,high risk,3,3,0,1.0,0.011029411764705883,adolescente,hipotension,normal,hiperglucemia_gestacional,fiebre,bradicardia
R004,high risk,2,2,0,1.0,0.007352941176470588,avanzada,hipotension,normal,diabetes_manifiesta,normal,normal
R005,low risk,1,1,0,1.0,0.0024752475247524753,optima,normal,normal,normoglucemia,hiperpirexia,normal
R006,high risk,4,1,3,0.25,0.003676470588235294,avanzada,normal,elevada,normoglucemia,normal,normal
R007,low risk,2,2,0,1.0,0.0049504950495049506,optima,hipotension,normal,hiperglucemia_gestacional,normal,bradicardia
R008,high risk,67,1,66,0.014925373134328358,0.003676470588235294,optima,normal,elevada,normoglucemia,normal,normal
R009,low risk,3,1,2,0.3333333333333333,0.0024752475247524753,adolescente,normal,hipertension,normoglucemia,normal,bradicardia
R010,mid risk,31,14,17,0.45161290322580644,0.041666666666666664,adolescente,hipotension,normal,hiperglucemia_gestacional,fiebre,normal
R011,mid risk,31,6,25,0.1935483870967742,0.017857142857142856,muy_avanzada,normal,normal,normoglucemia,normal,normal
R012,mid risk,8,6,2,0.75,0.017857142857142856,muy_avanzada,normal,elevada,diabetes_manifiesta,normal,normal
R013,high risk,3,3,0,1.0,0.011029411764705883,avanzada,normal,elevada,diabetes_manifiesta,normal,bradicardia
R014,low risk,11,3,8,0.2727272727272727,0.007425742574257425,optima,normal,elevada,hiperglucemia_gestacional,normal,bradicardia
R015,mid risk,11,8,3,0.7272727272727273,0.023809523809523808,optima,normal,elevada,hiperglucemia_gestacional,normal,bradicardia
R016,high risk,8,2,6,0.25,0.007352941176470588,muy_avanzada,normal,elevada,diabetes_manifiesta,normal,normal
R017,mid risk,9,2,7,0.2222222222222222,0.005952380952380952,optima,hipotension,normal,hiperglucemia_gestacional,normal,normal
R018,high risk,2,2,0,1.0,0.007352941176470588,muy_avanzada,elevada,normal,normoglucemia,fiebre,normal
R019,mid risk,3,2,1,0.6666666666666666,0.005952380952380952,optima,normal,hipertension,normoglucemia,normal,bradicardia
R020,low risk,2,2,0,1.0,0.0049504950495049506,adolescente,normal,normal,normoglucemia,fiebre,bradicardia
R021,high risk,5,5,0,1.0,0.01838235294117647,adolescente,normal,normal,diabetes_manifiesta,fiebre,normal
R022,mid risk,12,7,5,0.5833333333333334,0.020833333333333332,muy_avanzada,elevada,normal,diabetes_manifiesta,normal,normal
R023,high risk,3,3,0,1.0,0.011029411764705883,avanzada,elevada,elevada,diabetes_manifiesta,normal,normal
R024,high risk,2,2,0,1.0,0.007352941176470588,avanzada,elevada,hipertension,normoglucemia,fiebre,normal
R025,low risk,38,14,24,0.3684210526315789,0.034653465346534656,muy_avanzada,normal,normal,hiperglucemia_gestacional,normal,normal
R026,mid risk,129,64,65,0.49612403100775193,0.19047619047619047,optima,normal,normal,normoglucemia,normal,normal
R027,mid risk,38,8,30,0.21052631578947367,0.023809523809523808,adolescente,hipotension,normal,normoglucemia,normal,normal
R028,mid risk,27,25,2,0.9259259259259259,0.0744047619047619,optima,elevada,normal,normoglucemia,normal,normal
R029,high risk,5,5,0,1.0,0.01838235294117647,optima,elevada,elevada,normoglucemia,normal,normal
