iteracion,reglas_originales,reglas_unicas,reglas_eliminadas,low risk,mid risk,high risk,balanced_accuracy_original,accuracy_original,balanced_accuracy_limpia,accuracy_limpia,sin_activacion_limpia,ruta_origen,ruta_limpia
1,368,55,313,16,22,17,0.48188285215076126,0.47134387351778656,0.48188285215076126,0.47134387351778656,117,src\riesgo_materno\herramientas\comparaciones\resultados\iteracion_01\genetic_algorithm.json,limpieza\resultados_limpieza\reglas_unicas_por_iteracion\iteracion_01\genetic_algorithm_reglas_unicas.json
2,368,137,231,40,44,53,0.5218028630594153,0.5207509881422925,0.5218028630594153,0.5207509881422925,48,src\riesgo_materno\herramientas\comparaciones\resultados\iteracion_02\genetic_algorithm.json,limpieza\resultados_limpieza\reglas_unicas_por_iteracion\iteracion_02\genetic_algorithm_reglas_unicas.json
3,368,129,239,41,35,53,0.5234362721986484,0.5069169960474308,0.5234362721986484,0.5069169960474308,56,src\riesgo_materno\herramientas\comparaciones\resultados\iteracion_03\genetic_algorithm.json,limpieza\resultados_limpieza\reglas_unicas_por_iteracion\iteracion_03\genetic_algorithm_reglas_unicas.json
4,368,145,223,41,48,56,0.4990206478631056,0.4841897233201581,0.4990206478631056,0.4841897233201581,35,src\riesgo_materno\herramientas\comparaciones\resultados\iteracion_04\genetic_algorithm.json,limpieza\resultados_limpieza\reglas_unicas_por_iteracion\iteracion_04\genetic_algorithm_reglas_unicas.json
5,368,53,315,13,20,20,0.48020148653520817,0.4762845849802372,0.48020148653520817,0.4762845849802372,167,src\riesgo_materno\herramientas\comparaciones\resultados\iteracion_05\genetic_algorithm.json,limpieza\resultados_limpieza\reglas_unicas_por_iteracion\iteracion_05\genetic_algorithm_reglas_unicas.json
6,368,53,315,13,23,17,0.5068363979255068,0.5009881422924901,0.5068363979255068,0.5009881422924901,142,src\riesgo_materno\herramientas\comparaciones\resultados\iteracion_06\genetic_algorithm.json,limpieza\resultados_limpieza\reglas_unicas_por_iteracion\iteracion_06\genetic_algorithm_reglas_unicas.json
7,368,55,313,10,23,22,0.49642233130876107,0.4762845849802372,0.49642233130876107,0.4762845849802372,142,src\riesgo_materno\herramientas\comparaciones\resultados\iteracion_07\genetic_algorithm.json,limpieza\resultados_limpieza\reglas_unicas_por_iteracion\iteracion_07\genetic_algorithm_reglas_unicas.json
8,368,116,252,39,30,47,0.5144961449926506,0.5029644268774703,0.5144961449926506,0.5029644268774703,64,src\riesgo_materno\herramientas\comparaciones\resultados\iteracion_08\genetic_algorithm.json,limpieza\resultados_limpieza\reglas_unicas_por_iteracion\iteracion_08\genetic_algorithm_reglas_unicas.json
9,368,64,304,19,23,22,0.5076470357119746,0.5,0.5076470357119746,0.5,124,src\riesgo_materno\herramientas\comparaciones\resultados\iteracion_09\genetic_algorithm.json,limpieza\resultados_limpieza\reglas_unicas_por_iteracion\iteracion_09\genetic_algorithm_reglas_unicas.json
10,368,55,313,12,23,20,0.49264359209030145,0.4733201581027668,0.49264359209030145,0.4733201581027668,143,src\riesgo_materno\herramientas\comparaciones\resultados\iteracion_10\genetic_algorithm.json,limpieza\resultados_limpieza\reglas_unicas_por_iteracion\iteracion_10\genetic_algorithm_reglas_unicas.json
