id_global,iteracion_origen,id_origen,clase,precision,recall,f1,cobertura,aciertos,errores,antecedentes
RG0027,1,R027,high risk,1.0,0.20955882352941177,0.34650455927051677,57,57,0,edad=muy_avanzada AND presion_sistolica=hipertension AND presion_diastolica=hipertension AND azucar_sangre=diabetes_manifiesta AND temperatura_corporal=normal AND frecuencia_cardiaca=normal
RG0053,1,R053,high risk,1.0,0.08455882352941177,0.15593220338983052,23,23,0,edad=optima AND presion_sistolica=elevada AND presion_diastolica=hipertension AND azucar_sangre=diabetes_manifiesta AND temperatura_corporal=normal AND frecuencia_cardiaca=normal
RG0385,2,R188,high risk,1.0,0.08088235294117647,0.14965986394557826,22,22,0,edad=optima AND presion_sistolica=hipertension AND presion_diastolica=hipertension AND azucar_sangre=normoglucemia AND temperatura_corporal=normal AND frecuencia_cardiaca=normal
RG0176,1,R176,high risk,1.0,0.07720588235294118,0.14334470989761094,21,21,0,edad=optima AND presion_sistolica=hipertension AND presion_diastolica=hipertension AND azucar_sangre=diabetes_manifiesta AND temperatura_corporal=normal AND frecuencia_cardiaca=normal
RG2417,16,R150,high risk,1.0,0.06985294117647059,0.13058419243986255,19,19,0,edad=optima AND presion_sistolica=hipertension AND presion_diastolica=hipertension AND azucar_sangre=hiperglucemia_gestacional AND temperatura_corporal=normal AND frecuencia_cardiaca=normal
RG0236,2,R023,high risk,1.0,0.0661764705882353,0.12413793103448276,18,18,0,edad=avanzada AND presion_sistolica=hipertension AND presion_diastolica=hipertension AND azucar_sangre=diabetes_manifiesta AND temperatura_corporal=normal AND frecuencia_cardiaca=normal
RG0171,1,R171,high risk,1.0,0.0625,0.11764705882352941,17,17,0,edad=optima AND presion_sistolica=elevada AND presion_diastolica=elevada AND azucar_sangre=diabetes_manifiesta AND temperatura_corporal=normal AND frecuencia_cardiaca=normal
RG1171,7,R142,high risk,1.0,0.051470588235294115,0.09790209790209789,14,14,0,edad=muy_avanzada AND presion_sistolica=hipertension AND presion_diastolica=elevada AND azucar_sangre=diabetes_manifiesta AND temperatura_corporal=normal AND frecuencia_cardiaca=normal
RG0003,1,R003,high risk,1.0,0.04044117647058824,0.07773851590106007,11,11,0,edad=avanzada AND presion_sistolica=elevada AND presion_diastolica=hipertension AND azucar_sangre=diabetes_manifiesta AND temperatura_corporal=normal AND frecuencia_cardiaca=normal
RG0257,2,R046,high risk,1.0,0.03676470588235294,0.07092198581560283,10,10,0,edad=avanzada AND presion_sistolica=hipertension_severa AND presion_diastolica=hipertension AND azucar_sangre=diabetes_manifiesta AND temperatura_corporal=normal AND frecuencia_cardiaca=normal
RG0871,5,R176,high risk,1.0,0.03676470588235294,0.07092198581560283,10,10,0,edad=muy_avanzada AND presion_sistolica=hipertension_severa AND presion_diastolica=hipertension AND azucar_sangre=diabetes_manifiesta AND temperatura_corporal=normal AND frecuencia_cardiaca=normal
RG0973,6,R101,high risk,1.0,0.03676470588235294,0.07092198581560283,10,10,0,edad=avanzada AND presion_sistolica=elevada AND presion_diastolica=elevada AND azucar_sangre=diabetes_manifiesta AND temperatura_corporal=normal AND frecuencia_cardiaca=normal
RG0017,1,R017,high risk,1.0,0.025735294117647058,0.05017921146953405,7,7,0,edad=muy_avanzada AND presion_sistolica=elevada AND presion_diastolica=hipertension AND azucar_sangre=diabetes_manifiesta AND temperatura_corporal=normal AND frecuencia_cardiaca=bradicardia
RG1895,12,R141,high risk,1.0,0.022058823529411766,0.04316546762589929,6,6,0,edad=avanzada AND presion_sistolica=normal AND presion_diastolica=elevada AND azucar_sangre=diabetes_manifiesta AND temperatura_corporal=normal AND frecuencia_cardiaca=normal
RG0201,1,R201,high risk,1.0,0.01838235294117647,0.03610108303249098,5,5,0,edad=avanzada AND presion_sistolica=normal AND presion_diastolica=normal AND azucar_sangre=diabetes_manifiesta AND temperatura_corporal=normal AND frecuencia_cardiaca=normal
RG0244,2,R031,high risk,1.0,0.01838235294117647,0.03610108303249098,5,5,0,edad=optima AND presion_sistolica=normal AND presion_diastolica=normal AND azucar_sangre=diabetes_manifiesta AND temperatura_corporal=normal AND frecuencia_cardiaca=normal
RG0574,3,R210,high risk,1.0,0.01838235294117647,0.03610108303249098,5,5,0,edad=muy_avanzada AND presion_sistolica=hipertension AND presion_diastolica=hipertension AND azucar_sangre=diabetes_manifiesta AND temperatura_corporal=normal AND frecuencia_cardiaca=bradicardia
