iteracion,reglas_originales,reglas_unicas,reglas_eliminadas,low risk,mid risk,high risk,balanced_accuracy_original,accuracy_original,ruta_origen,ruta_limpia
1,34,28,6,11,3,14,0.5626224912407207,0.5701581027667985,C:\Users\Joel\Desktop\Universidad\Septimo Semestre\Inteligencia Artificial\Proyecto-Paper\Fuzzy-Genetic-Maternal-Risk-Assessment\backend\src\riesgo_materno\herramientas\comparaciones\resultados\iteracion_01\ripper.json,C:\Users\Joel\Desktop\Universidad\Septimo Semestre\Inteligencia Artificial\Proyecto-Paper\Fuzzy-Genetic-Maternal-Risk-Assessment\backend\limpieza\resultados_limpieza\reglas_unicas_ripper_por_iteracion\iteracion_01\ripper_reglas_unicas.json
2,36,33,3,13,5,15,0.5605696073809061,0.558300395256917,C:\Users\Joel\Desktop\Universidad\Septimo Semestre\Inteligencia Artificial\Proyecto-Paper\Fuzzy-Genetic-Maternal-Risk-Assessment\backend\src\riesgo_materno\herramientas\comparaciones\resultados\iteracion_02\ripper.json,C:\Users\Joel\Desktop\Universidad\Septimo Semestre\Inteligencia Artificial\Proyecto-Paper\Fuzzy-Genetic-Maternal-Risk-Assessment\backend\limpieza\resultados_limpieza\reglas_unicas_ripper_por_iteracion\iteracion_02\ripper_reglas_unicas.json
3,28,24,4,9,2,13,0.49434864704957887,0.4841897233201581,C:\Users\Joel\Desktop\Universidad\Septimo Semestre\Inteligencia Artificial\Proyecto-Paper\Fuzzy-Genetic-Maternal-Risk-Assessment\backend\src\riesgo_materno\herramientas\comparaciones\resultados\iteracion_03\ripper.json,C:\Users\Joel\Desktop\Universidad\Septimo Semestre\Inteligencia Artificial\Proyecto-Paper\Fuzzy-Genetic-Maternal-Risk-Assessment\backend\limpieza\resultados_limpieza\reglas_unicas_ripper_por_iteracion\iteracion_03\ripper_reglas_unicas.json
4,32,27,5,9,3,15,0.5104637564596796,0.5128458498023716,C:\Users\Joel\Desktop\Universidad\Septimo Semestre\Inteligencia Artificial\Proyecto-Paper\Fuzzy-Genetic-Maternal-Risk-Assessment\backend\src\riesgo_materno\herramientas\comparaciones\resultados\iteracion_04\ripper.json,C:\Users\Joel\Desktop\Universidad\Septimo Semestre\Inteligencia Artificial\Proyecto-Paper\Fuzzy-Genetic-Maternal-Risk-Assessment\backend\limpieza\resultados_limpieza\reglas_unicas_ripper_por_iteracion\iteracion_04\ripper_reglas_unicas.json
5,35,31,4,12,4,15,0.5278037782769873,0.5286561264822134,C:\Users\Joel\Desktop\Universidad\Septimo Semestre\Inteligencia Artificial\Proyecto-Paper\Fuzzy-Genetic-Maternal-Risk-Assessment\backend\src\riesgo_materno\herramientas\comparaciones\resultados\iteracion_05\ripper.json,C:\Users\Joel\Desktop\Universidad\Septimo Semestre\Inteligencia Artificial\Proyecto-Paper\Fuzzy-Genetic-Maternal-Risk-Assessment\backend\limpieza\resultados_limpieza\reglas_unicas_ripper_por_iteracion\iteracion_05\ripper_reglas_unicas.json
6,38,33,5,13,5,15,0.5207691987686164,0.5138339920948617,C:\Users\Joel\Desktop\Universidad\Septimo Semestre\Inteligencia Artificial\Proyecto-Paper\Fuzzy-Genetic-Maternal-Risk-Assessment\backend\src\riesgo_materno\herramientas\comparaciones\resultados\iteracion_06\ripper.json,C:\Users\Joel\Desktop\Universidad\Septimo Semestre\Inteligencia Artificial\Proyecto-Paper\Fuzzy-Genetic-Maternal-Risk-Assessment\backend\limpieza\resultados_limpieza\reglas_unicas_ripper_por_iteracion\iteracion_06\ripper_reglas_unicas.json
7,39,32,7,12,5,15,0.5516618363517024,0.5503952569169961,C:\Users\Joel\Desktop\Universidad\Septimo Semestre\Inteligencia Artificial\Proyecto-Paper\Fuzzy-Genetic-Maternal-Risk-Assessment\backend\src\riesgo_materno\herramientas\comparaciones\resultados\iteracion_07\ripper.json,C:\Users\Joel\Desktop\Universidad\Septimo Semestre\Inteligencia Artificial\Proyecto-Paper\Fuzzy-Genetic-Maternal-Risk-Assessment\backend\limpieza\resultados_limpieza\reglas_unicas_ripper_por_iteracion\iteracion_07\ripper_reglas_unicas.json
8,37,29,8,12,2,15,0.5344610616523838,0.541501976284585,C:\Users\Joel\Desktop\Universidad\Septimo Semestre\Inteligencia Artificial\Proyecto-Paper\Fuzzy-Genetic-Maternal-Risk-Assessment\backend\src\riesgo_materno\herramientas\comparaciones\resultados\iteracion_08\ripper.json,C:\Users\Joel\Desktop\Universidad\Septimo Semestre\Inteligencia Artificial\Proyecto-Paper\Fuzzy-Genetic-Maternal-Risk-Assessment\backend\limpieza\resultados_limpieza\reglas_unicas_ripper_por_iteracion\iteracion_08\ripper_reglas_unicas.json
9,38,32,6,12,3,17,0.5599531066552034,0.5592885375494071,C:\Users\Joel\Desktop\Universidad\Septimo Semestre\Inteligencia Artificial\Proyecto-Paper\Fuzzy-Genetic-Maternal-Risk-Assessment\backend\src\riesgo_materno\herramientas\comparaciones\resultados\iteracion_09\ripper.json,C:\Users\Joel\Desktop\Universidad\Septimo Semestre\Inteligencia Artificial\Proyecto-Paper\Fuzzy-Genetic-Maternal-Risk-Assessment\backend\limpieza\resultados_limpieza\reglas_unicas_ripper_por_iteracion\iteracion_09\ripper_reglas_unicas.json
10,34,29,5,12,3,14,0.53690741973357,0.5365612648221344,C:\Users\Joel\Desktop\Universidad\Septimo Semestre\Inteligencia Artificial\Proyecto-Paper\Fuzzy-Genetic-Maternal-Risk-Assessment\backend\src\riesgo_materno\herramientas\comparaciones\resultados\iteracion_10\ripper.json,C:\Users\Joel\Desktop\Universidad\Septimo Semestre\Inteligencia Artificial\Proyecto-Paper\Fuzzy-Genetic-Maternal-Risk-Assessment\backend\limpieza\resultados_limpieza\reglas_unicas_ripper_por_iteracion\iteracion_10\ripper_reglas_unicas.json
